X000001,A00001,《道德经》,文学,202003140001,张三,2020-9-10,2020-9-10,1
X000002,A00002,《颜氏家训》,文学,202003140002,李四,2020-9-11,2020-9-11,0
X000003,A00003,《一千零一页》,文学,202003140003,王五,2020-9-12,2020-9-12,0
X000004,A00004,《格林童话》,文学,202003140004,吴用,2020-9-13,2020-9-13,1
X000005,A00005,《安徒生童话》,文学,202003140005,文风,2020-9-14,2020-9-14,1
X000006,A00006,《佛教的见地与修道》,文学,202003140006,李凡,2020-9-15,2020-9-15,0
X000007,A00007,《礼记》,文学,202003140007,张君,2020-9-16,2020-9-16,0
X000008,A00008,《尚书》,文学,202003140008,张纬,2020-9-17,2020-9-17,1
X000009,A00009,《基督山伯爵》,文学,202003140009,张宝庆,2020-9-18,2020-9-18,1
X000010,A00010,《巴黎圣母院》,文学,202003140010,李典,2020-9-19,2020-9-19,0
X000011,A00011,《汤姆叔叔的小屋》,文学,202003140011,李志超,2020-9-20,2020-9-20,0
X000012,A00012,《昆虫记》,文学,202003140012,李自成,2020-9-21,2020-9-21,1
X000013,A00013,《苏菲的世界》,文学,202003140013,王绪,2020-9-22,2020-9-22,1
X000014,A00014,《新教伦理与资本主义精神》,文学,202003140014,李逍遥,2020-9-23,2020-9-23,0
X000015,A00015,《静静的顿河》,文学,202003140015,王飞,2020-9-24,2020-9-24,0
X000016,A00016,《艺术与现实的审美关系》,文学,202003140016,王宝强,2020-9-25,2020-9-25,1
X000017,A00017,《复活》,文学,202003140017,李自顾,2020-9-26,2020-9-26,1
X000018,A00018,《古代社会》,文学,202003140018,李泷,2020-9-27,2020-9-27,0
X000019,A00019,《茶花女》,文学,202003140019,汪苏泷,2020-9-28,2020-9-28,0
X000020,A00020,《小王子》,文学,202003140020,温恩,2020-9-29,2020-9-29,1
X000021,A00021,《冰心散文选集》,文学,202003140021,王囍,2020-9-30,2020-9-30,1
X000022,A00022,《阿Q正传》,文学,202003140022,汪绪,2020-10-1,2020-10-1,0
X000023,A00023,《少年维特之烦恼》,文学,202003140023,汪旭东,2020-10-2,2020-10-2,0
X000024,A00024,《追忆似水年华》,文学,202003140024,王发,2020-10-3,2020-10-3,1
X000025,A00025,《梦的解析》,文学,202003140025,章旺,2020-10-4,2020-10-4,1
X000026,A00026,《法学阶梯》,文学,202003140026,章小倩,2020-10-5,2020-10-5,0
X000027,A00027,《史记》,文学,202003140027,大概,2020-10-6,2020-10-6,0
X000028,A00028,《抱朴子》,文学,202003140028,章彤彤,2020-10-7,2020-10-7,1
X000029,A00029,《钢铁是怎么炼成的》,文学,202003140029,李佳美,2020-10-8,2020-10-8,1
X000030,A00030,《罗密欧与朱丽叶》,文学,202003140030,李梅,2020-10-9,2020-10-9,0
X000031,A00031,《论语》,文学,202003140031,张莉莉,2020-10-10,2020-10-10,0
X000032,A00032,《管理学》,文学,202003140032,张霞,2020-10-11,2020-10-11,1
X000033,A00033,《资治通鉴》,文学,202003140033,张夏丽,2020-10-12,2020-10-12,1
X000034,A00034,《新工具》,文学,202003140034,张童彤,2020-10-13,2020-10-13,0
X000035,A00035,《本草纲目》,文学,202003140035,张肖霞,2020-10-14,2020-10-14,0
X000036,A00036,《人性的弱点》,文学,202003140036,吴梅梅,2020-10-15,2020-10-15,1
X000037,A00037,《尤利西斯》,文学,202003140037,吴宝美,2020-10-16,2020-10-16,1
X000038,A00038,《伦理学》,文学,202003140038,吴曦凤,2020-10-17,2020-10-17,0
X000039,A00039,《理想国》,文学,202003140039,汪彤彤,2020-10-18,2020-10-18,0
X000040,A00040,《悲惨世界》,文学,202003140040,王霞,2020-10-19,2020-10-19,1
X000041,A00041,《实用主义》,文学,202003140041,李霞曦,2020-10-20,2020-10-20,1
X000042,A00042,《社会契约论》,文学,202003140042,吴芳霞,2020-10-21,2020-10-21,0
X000043,A00043,《安娜卡列尼娜》,文学,202003140043,李美玲,2020-10-22,2020-10-22,0
X000044,A00044,《资本论》,文学,202003140044,李梅玲,2020-10-23,2020-10-23,1
X000045,A00045,《穆斯林的葬礼》,文学,202003140045,李美梦,2020-10-24,2020-10-24,1
X000046,A00046,《活着》,文学,202003140046,李梅彤,2020-10-25,2020-10-25,0
X000047,A00047,《经济学原理》,文学,202003140047,王肖玉,2020-10-26,2020-10-26,0
X000048,A00048,《飘》,文学,202003140048,吴嘉,2020-10-27,2020-10-27,1
X000049,A00049,《金刚经释义》,文学,202003140049,田欣欣,2020-10-28,2020-10-28,1
X000050,A00050,《毛泽东诗词全集》,文学,202003140050,李鑫欣,2020-10-29,2020-10-29,0
X000051,A00051,《徐霞客游记》,文学,202003140051,李文轩,2020-10-30,2020-10-30,0
X000052,A00052,《神曲》,文学,202003140052,张文旭,2020-10-1,2020-10-1,1
X000053,A00053,《六祖法宝坛经》,文学,202003140053,李文成,2020-10-2,2020-10-2,1
X000054,A00054,《庄子》,文学,202003140054,李温驯,2020-10-3,2020-10-3,0
X000055,A00055,《吉檀迦利》,文学,202003140055,李文龙,2020-10-4,2020-10-4,0
X000056,A00056,《荷马史诗》,文学,202003140056,李云龙,2020-10-5,2020-10-5,1
X000057,A00057,《三十六计》,文学,202003140057,李佰,2020-10-6,2020-10-6,1
X000058,A00058,《简爱》,文学,202003140058,李浅陌,2020-10-7,2020-10-7,0
X000059,A00059,《聊斋志异》,文学,202003140059,王风,2020-10-8,2020-10-8,0
X000060,A00060,《马可波罗游记》,文学,202003140060,王基,2020-10-9,2020-10-9,1
X000061,A00061,《梦溪笔谈》,文学,202003140061,李白,2020-10-10,2020-10-10,1
X000062,A00062,《围城》,文学,202003140062,关绪,2020-10-11,2020-10-11,0
X000063,A00063,《中庸》,文学,202003140063,关白,2020-10-12,2020-10-12,0
X000064,A00064,《贞观政要》,文学,202003140064,白方,2020-10-13,2020-10-13,1
X000065,A00065,《窦娥冤》,文学,202003140065,李飞,2020-10-14,2020-10-14,1
X000066,A00066,《红与黑》,文学,202003140066,王掰,2020-10-15,2020-10-15,0
X000067,A00067,《麦田里的守望者》,文学,202003140067,李龙,2020-10-16,2020-10-16,0
X000068,A00068,《老人与海》,文学,202003140068,李自发,2020-10-17,2020-10-17,1
X000069,A00069,《红楼梦》,文学,202003140069,李宝典,2020-10-18,2020-10-18,1
X000070,A00070,《西游记》,文学,202003140070,王旭,2020-10-19,2020-10-19,0
X000071,A00071,《三国演义》,文学,202003140071,王龙,2020-10-20,2020-10-20,0
X000072,A00072,《水浒传》,文学,202003140072,王强,2020-10-21,2020-10-21,1
X000073,A00073,《战争论》,文学,202003140073,王角,2020-10-22,2020-10-22,1
X000074,A00074,《悲剧的诞生》,文学,202003140074,旺熏,2020-10-23,2020-10-23,0
X000075,A00075,《物种起源》,文学,202003140075,吴奇正,2020-10-24,2020-10-24,0
X000076,A00076,《论法的精神》,文学,202003140076,白镇,2020-10-25,2020-10-25,1
X000077,A00077,《君主论》,文学,202003140077,白式,2020-10-26,2020-10-26,1
X000078,A00078,《人口原理》,文学,202003140078,李钧,2020-10-27,2020-10-27,0
X000079,A00079,《堂吉诃德》,文学,202003140079,方白,2020-10-28,2020-10-28,0
X000080,A00080,《源氏物语》,文学,202003140080,方斐讯,2020-10-29,2020-10-29,1
X000081,A00081,《政治学》,文学,202003140081,方彤,2020-10-30,2020-10-30,1
X000082,A00082,《鲁滨逊漂流记》,文学,202003140082,李雪,2020-10-1,2020-10-1,0
X000083,A00083,《国富论》,文学,202003140083,方白雪,2020-10-2,2020-10-2,0
X000084,A00084,《几何原本》,文学,202003140084,张肖欣,2020-10-3,2020-10-3,1
X000085,A00085,《水经注》,文学,202003140085,张续,2020-10-4,2020-10-4,1
X000086,A00086,《大学》,文学,202003140086,张煦,2020-10-5,2020-10-5,0
X000087,A00087,《老子》,文学,202003140087,韩寒,2020-10-6,2020-10-6,0
X000088,A00088,《左传》,文学,202003140088,韩煦,2020-10-7,2020-10-7,1
X000089,A00089,《孟子》,文学,202003140089,韩许,2020-10-8,2020-10-8,1
X000090,A00090,《韩非子》,文学,202003140090,韩资,2020-10-9,2020-10-9,0
X000091,A00091,《正义论》,文学,202003140091,韩雪,2020-10-10,2020-10-10,0
X000092,A00092,《孙子兵法》,文学,202003140092,韩梅,2020-10-11,2020-10-11,1
X000093,A00093,《曾国藩家书》,文学,202003140093,郭美玲,2020-10-12,2020-10-12,1
X000094,A00094,《文明的冲突与世界秩序的重建》,文学,202003140094,郭百,2020-10-13,2020-10-13,0
X000095,A00095,《周易》,文学,202003140095,王柏欣,2020-10-14,2020-10-14,0
X000096,A00096,《美的历程》,文学,202003140096,李梓萱,2020-10-15,2020-10-15,1
X000097,A00097,《百年孤独》,文学,202003140097,吴昕,2020-10-16,2020-10-16,1
X000098,A00098,《菜根谭》,文学,202003140098,李梅,2020-10-17,2020-10-17,0
X000099,A00099,《诗经》,文学,202003140099,张美英,2020-10-18,2020-10-18,0
X000100,A00100,《毛泽东传》,文学,202003140100,张美玉,2020-10-19,2020-10-19,1
X000101,B00101,艺术的故事,艺术,202003140101,王强,2020-10-20,2020-10-20,1
X000102,B00102,美的历程,艺术,202003140102,王资,2020-10-21,2020-10-21,0
X000103,B00103,中国哲学简史,艺术,202003140103,王霸,2020-10-22,2020-10-22,0
